1976/7/18,shimokawa_aki@example.com,090- 576-5061
1991/11/9,kurota_kenichi@example.com,080-3306-1051
1987/1/22,itou_yuuta@example.com,090-3807-3074
1957/7/14,hanaoka_meibi@example.com,080-4941-5057
1943/12/23,ogata_miho@example.com,080-7370-6275
1958/2/9,emoto_riho@example.com,080-6126-6952
1995/3/28,"ogura_girolamo@example.com
shinoyama_kazuki@example.com",090-6621- 313
1995/12/21,nishiguchi_myuu@example.com,080-4061-2294
1969/12/25,fujino_yuino@example.com,080-8736-1097
1954/8/18,hata_saburou@example.com,"080-8956-6173
090-8226-8318"
